type_propusk,name_dataset,metric_impute,metric_model,kl_divergence
MAR_5,2dplanes_regression_y.csv,RMSE,R2,1.7925805383729014
MAR_5,2dplanes_regression_y.csv,MAE,R2,1.791844661966276
MAR_5,2dplanes_regression_y.csv,R2,R2,1.7916875055992156
MAR_5,2dplanes_regression_y.csv,KL_divergence_median,R2,1.7918101586279644
MAR_5,2dplanes_regression_y.csv,KL_divergence_max,R2,1.7919603216872813
MAR_5,2dplanes_regression_y.csv,KS_statistic_median,R2,1.7982030936300322
MAR_5,2dplanes_regression_y.csv,KS_statistic_max,R2,1.7984699113371707
MAR_5,2dplanes_regression_y.csv,Wasserstein_2_median,R2,1.796190186409787
MAR_5,2dplanes_regression_y.csv,Wasserstein_2_max,R2,1.799895965306873
MAR_5,2dplanes_regression_y.csv,kl_w_vs_w_hat,R2,1.8221193956160504
MAR_5,2dplanes_regression_y.csv,ks_w_vs_w_hat,R2,1.821252859606498
MAR_5,2dplanes_regression_y.csv,wasserstein_2_w_vs_w_hat,R2,1.792115360191184
MAR_5,2dplanes_regression_y.csv,mean_ratio,R2,2.109272956760703
MAR_15,2dplanes_regression_y.csv,RMSE,R2,1.7960085241374462
MAR_15,2dplanes_regression_y.csv,MAE,R2,1.792743581124388
MAR_15,2dplanes_regression_y.csv,R2,R2,1.7909046199910998
MAR_15,2dplanes_regression_y.csv,KL_divergence_median,R2,1.7924149400992295
MAR_15,2dplanes_regression_y.csv,KL_divergence_max,R2,1.7938351748011516
MAR_15,2dplanes_regression_y.csv,KS_statistic_median,R2,1.7975576012204113
MAR_15,2dplanes_regression_y.csv,KS_statistic_max,R2,1.797796253413562
MAR_15,2dplanes_regression_y.csv,Wasserstein_2_median,R2,1.799140360991382
MAR_15,2dplanes_regression_y.csv,Wasserstein_2_max,R2,1.8084896058001216
MAR_15,2dplanes_regression_y.csv,kl_w_vs_w_hat,R2,8.235788158083853
MAR_15,2dplanes_regression_y.csv,ks_w_vs_w_hat,R2,1.8120683064612826
MAR_15,2dplanes_regression_y.csv,wasserstein_2_w_vs_w_hat,R2,1.795048239634296
MAR_15,2dplanes_regression_y.csv,mean_ratio,R2,3.7811856688077117
MAR_30,2dplanes_regression_y.csv,RMSE,R2,1.6134288363918756
MAR_30,2dplanes_regression_y.csv,MAE,R2,1.6115697126628983
MAR_30,2dplanes_regression_y.csv,R2,R2,1.6076657099805507
MAR_30,2dplanes_regression_y.csv,KL_divergence_median,R2,1.6085525298560563
MAR_30,2dplanes_regression_y.csv,KL_divergence_max,R2,1.612759388080723
MAR_30,2dplanes_regression_y.csv,KS_statistic_median,R2,1.6216880375107987
MAR_30,2dplanes_regression_y.csv,KS_statistic_max,R2,1.622397390219228
MAR_30,2dplanes_regression_y.csv,Wasserstein_2_median,R2,1.6500626039384017
