type_propusk,name_dataset,metric_impute,metric_model,kl_divergence
MAR_5,2dplanes_regression_y.csv,RMSE,R2,1.7915153004795048
MAR_5,2dplanes_regression_y.csv,MAE,R2,1.7916903612867454
MAR_5,2dplanes_regression_y.csv,R2,R2,1.7918930570502871
MAR_5,2dplanes_regression_y.csv,KL_divergence_median,R2,1.7917139391590222
MAR_5,2dplanes_regression_y.csv,KL_divergence_max,R2,1.7915675881451476
MAR_5,2dplanes_regression_y.csv,KS_statistic_median,R2,1.800407208038474
MAR_5,2dplanes_regression_y.csv,KS_statistic_max,R2,1.8007452447614838
MAR_5,2dplanes_regression_y.csv,Wasserstein_2_median,R2,1.7925788691744171
MAR_5,2dplanes_regression_y.csv,Wasserstein_2_max,R2,1.7945990433913483
MAR_5,2dplanes_regression_y.csv,kl_w_vs_w_hat,R2,1.8135825169889876
MAR_5,2dplanes_regression_y.csv,ks_w_vs_w_hat,R2,1.8106569998407656
MAR_5,2dplanes_regression_y.csv,wasserstein_2_w_vs_w_hat,R2,1.7913964079553066
MAR_5,2dplanes_regression_y.csv,mean_ratio,R2,2.067692988358456
MAR_15,2dplanes_regression_y.csv,RMSE,R2,1.7965979772346854
MAR_15,2dplanes_regression_y.csv,MAE,R2,1.792904791226664
MAR_15,2dplanes_regression_y.csv,R2,R2,1.7907137807928653
MAR_15,2dplanes_regression_y.csv,KL_divergence_median,R2,1.7926050879638415
MAR_15,2dplanes_regression_y.csv,KL_divergence_max,R2,1.7940662218295054
MAR_15,2dplanes_regression_y.csv,KS_statistic_median,R2,1.796742417866875
MAR_15,2dplanes_regression_y.csv,KS_statistic_max,R2,1.7971878908700012
MAR_15,2dplanes_regression_y.csv,Wasserstein_2_median,R2,1.7979500739248548
MAR_15,2dplanes_regression_y.csv,Wasserstein_2_max,R2,1.8072589944707955
MAR_15,2dplanes_regression_y.csv,kl_w_vs_w_hat,R2,8.186974156728116
MAR_15,2dplanes_regression_y.csv,ks_w_vs_w_hat,R2,1.812133717847365
MAR_15,2dplanes_regression_y.csv,wasserstein_2_w_vs_w_hat,R2,1.7948008721342876
MAR_15,2dplanes_regression_y.csv,mean_ratio,R2,3.7664760484879083
