type_propusk,name_dataset,metric_impute,metric_model,kl_divergence
MAR_5,2dplanes_regression_y.csv,RMSE,R2,1.7927633738037854
MAR_5,2dplanes_regression_y.csv,MAE,R2,1.7918675596173503
MAR_5,2dplanes_regression_y.csv,R2,R2,1.7916531797116106
MAR_5,2dplanes_regression_y.csv,KL_divergence_median,R2,1.79183697379156
MAR_5,2dplanes_regression_y.csv,KL_divergence_max,R2,1.7920143906721633
MAR_5,2dplanes_regression_y.csv,KS_statistic_median,R2,1.797568908468914
MAR_5,2dplanes_regression_y.csv,KS_statistic_max,R2,1.7978284090854277
MAR_5,2dplanes_regression_y.csv,Wasserstein_2_median,R2,1.7963087457800464
MAR_5,2dplanes_regression_y.csv,Wasserstein_2_max,R2,1.80012845373712
MAR_5,2dplanes_regression_y.csv,kl_w_vs_w_hat,R2,1.8219403068715425
MAR_5,2dplanes_regression_y.csv,ks_w_vs_w_hat,R2,1.8216275071865609
MAR_5,2dplanes_regression_y.csv,wasserstein_2_w_vs_w_hat,R2,1.7921552697247498
MAR_5,2dplanes_regression_y.csv,mean_ratio,R2,2.1115348179655595
MAR_15,2dplanes_regression_y.csv,RMSE,R2,1.7968848481670858
MAR_15,2dplanes_regression_y.csv,MAE,R2,1.7929390115550057
MAR_15,2dplanes_regression_y.csv,R2,R2,1.7906233382481387
MAR_15,2dplanes_regression_y.csv,KL_divergence_median,R2,1.7926185387435702
MAR_15,2dplanes_regression_y.csv,KL_divergence_max,R2,1.794268350403237
MAR_15,2dplanes_regression_y.csv,KS_statistic_median,R2,1.796481223355506
MAR_15,2dplanes_regression_y.csv,KS_statistic_max,R2,1.7966968531160532
MAR_15,2dplanes_regression_y.csv,Wasserstein_2_median,R2,1.7998280433349132
MAR_15,2dplanes_regression_y.csv,Wasserstein_2_max,R2,1.8098556118209697
MAR_15,2dplanes_regression_y.csv,kl_w_vs_w_hat,R2,8.312315093764399
MAR_15,2dplanes_regression_y.csv,ks_w_vs_w_hat,R2,1.813779298621396
MAR_15,2dplanes_regression_y.csv,wasserstein_2_w_vs_w_hat,R2,1.7955345656470392
MAR_15,2dplanes_regression_y.csv,mean_ratio,R2,3.8096854510937446
MAR_30,2dplanes_regression_y.csv,RMSE,R2,1.6136385692042878
MAR_30,2dplanes_regression_y.csv,MAE,R2,1.6116883454068076
MAR_30,2dplanes_regression_y.csv,R2,R2,1.6075600223745186
MAR_30,2dplanes_regression_y.csv,KL_divergence_median,R2,1.608579994123784
MAR_30,2dplanes_regression_y.csv,KL_divergence_max,R2,1.612951876827633
MAR_30,2dplanes_regression_y.csv,KS_statistic_median,R2,1.6218732957681952
MAR_30,2dplanes_regression_y.csv,KS_statistic_max,R2,1.6228150346473198
MAR_30,2dplanes_regression_y.csv,Wasserstein_2_median,R2,1.650913327709698
MAR_30,2dplanes_regression_y.csv,Wasserstein_2_max,R2,1.6792328078828032
MAR_30,2dplanes_regression_y.csv,kl_w_vs_w_hat,R2,4.215521760722267
MAR_30,2dplanes_regression_y.csv,ks_w_vs_w_hat,R2,1.6807093804997253
MAR_30,2dplanes_regression_y.csv,wasserstein_2_w_vs_w_hat,R2,1.6256375483018384
MAR_30,2dplanes_regression_y.csv,mean_ratio,R2,5.835569660660516
MAR_50,2dplanes_regression_y.csv,RMSE,R2,1.6169361285044008
MAR_50,2dplanes_regression_y.csv,MAE,R2,1.6145556051616692
MAR_50,2dplanes_regression_y.csv,R2,R2,1.6050438579125714
MAR_50,2dplanes_regression_y.csv,KL_divergence_median,R2,1.6050815769728277
