type_propusk,name_dataset,metric_impute,metric_model,kl_divergence
MAR_5,2dplanes_regression_y.csv,RMSE,R2,-0.33333333333333337
MAR_5,2dplanes_regression_y.csv,MAE,R2,-0.33333333333333337
MAR_5,2dplanes_regression_y.csv,R2,R2,0.33333333333333337
MAR_5,2dplanes_regression_y.csv,KL_divergence_median,R2,-0.8333333333333335
MAR_5,2dplanes_regression_y.csv,KL_divergence_max,R2,-0.33333333333333337
MAR_5,2dplanes_regression_y.csv,KS_statistic_median,R2,0.16666666666666669
MAR_5,2dplanes_regression_y.csv,KS_statistic_max,R2,0.16666666666666669
MAR_5,2dplanes_regression_y.csv,Wasserstein_2_median,R2,-0.33333333333333337
MAR_5,2dplanes_regression_y.csv,Wasserstein_2_max,R2,-0.33333333333333337
MAR_5,2dplanes_regression_y.csv,kl_w_vs_w_hat,R2,-0.33333333333333337
MAR_5,2dplanes_regression_y.csv,ks_w_vs_w_hat,R2,-0.33333333333333337
MAR_5,2dplanes_regression_y.csv,wasserstein_2_w_vs_w_hat,R2,-0.33333333333333337
MAR_5,2dplanes_regression_y.csv,mean_ratio,R2,-0.33333333333333337
MAR_15,2dplanes_regression_y.csv,RMSE,R2,-0.33333333333333337
MAR_15,2dplanes_regression_y.csv,MAE,R2,-0.5000000000000001
MAR_15,2dplanes_regression_y.csv,R2,R2,0.33333333333333337
MAR_15,2dplanes_regression_y.csv,KL_divergence_median,R2,-0.8333333333333335
MAR_15,2dplanes_regression_y.csv,KL_divergence_max,R2,-0.5000000000000001
MAR_15,2dplanes_regression_y.csv,KS_statistic_median,R2,0.33333333333333337
MAR_15,2dplanes_regression_y.csv,KS_statistic_max,R2,0.16666666666666669
MAR_15,2dplanes_regression_y.csv,Wasserstein_2_median,R2,-0.16666666666666669
MAR_15,2dplanes_regression_y.csv,Wasserstein_2_max,R2,-0.33333333333333337
MAR_15,2dplanes_regression_y.csv,kl_w_vs_w_hat,R2,-0.5000000000000001
MAR_15,2dplanes_regression_y.csv,ks_w_vs_w_hat,R2,-0.5000000000000001
MAR_15,2dplanes_regression_y.csv,wasserstein_2_w_vs_w_hat,R2,-0.33333333333333337
MAR_15,2dplanes_regression_y.csv,mean_ratio,R2,-0.33333333333333337
MAR_30,2dplanes_regression_y.csv,RMSE,R2,-0.14285714285714285
MAR_30,2dplanes_regression_y.csv,MAE,R2,-0.14285714285714285
MAR_30,2dplanes_regression_y.csv,R2,R2,0.14285714285714285
MAR_30,2dplanes_regression_y.csv,KL_divergence_median,R2,-0.14285714285714285
MAR_30,2dplanes_regression_y.csv,KL_divergence_max,R2,-0.14285714285714285
MAR_30,2dplanes_regression_y.csv,KS_statistic_median,R2,-0.14285714285714285
MAR_30,2dplanes_regression_y.csv,KS_statistic_max,R2,-0.14285714285714285
MAR_30,2dplanes_regression_y.csv,Wasserstein_2_median,R2,-0.14285714285714285
MAR_30,2dplanes_regression_y.csv,Wasserstein_2_max,R2,-0.14285714285714285
MAR_30,2dplanes_regression_y.csv,kl_w_vs_w_hat,R2,-0.14285714285714285
MAR_30,2dplanes_regression_y.csv,ks_w_vs_w_hat,R2,-0.14285714285714285
MAR_30,2dplanes_regression_y.csv,wasserstein_2_w_vs_w_hat,R2,-0.14285714285714285
MAR_30,2dplanes_regression_y.csv,mean_ratio,R2,-0.14285714285714285
MAR_50,2dplanes_regression_y.csv,RMSE,R2,-0.14285714285714285
MAR_50,2dplanes_regression_y.csv,MAE,R2,-0.14285714285714285
MAR_50,2dplanes_regression_y.csv,R2,R2,0.14285714285714285
MAR_50,2dplanes_regression_y.csv,KL_divergence_median,R2,0.14285714285714285
MAR_50,2dplanes_regression_y.csv,KL_divergence_max,R2,-0.9999999999999998
