type_propusk,name_dataset,metric_impute,metric_model,kl_divergence
MAR_5,2dplanes_regression_y.csv,RMSE,R2,0.0
MAR_5,2dplanes_regression_y.csv,MAE,R2,0.0
MAR_5,2dplanes_regression_y.csv,R2,R2,0.0
MAR_5,2dplanes_regression_y.csv,KL_divergence_median,R2,-0.447213595499958
MAR_5,2dplanes_regression_y.csv,KL_divergence_max,R2,0.0
MAR_5,2dplanes_regression_y.csv,KS_statistic_median,R2,0.14907119849998599
MAR_5,2dplanes_regression_y.csv,KS_statistic_max,R2,0.14907119849998599
MAR_5,2dplanes_regression_y.csv,Wasserstein_2_median,R2,0.0
MAR_5,2dplanes_regression_y.csv,Wasserstein_2_max,R2,0.0
MAR_5,2dplanes_regression_y.csv,kl_w_vs_w_hat,R2,0.0
MAR_5,2dplanes_regression_y.csv,ks_w_vs_w_hat,R2,0.0
MAR_5,2dplanes_regression_y.csv,wasserstein_2_w_vs_w_hat,R2,0.0
MAR_5,2dplanes_regression_y.csv,mean_ratio,R2,0.0
MAR_15,2dplanes_regression_y.csv,RMSE,R2,-0.14907119849998599
MAR_15,2dplanes_regression_y.csv,MAE,R2,-0.29814239699997197
MAR_15,2dplanes_regression_y.csv,R2,R2,0.14907119849998599
MAR_15,2dplanes_regression_y.csv,KL_divergence_median,R2,-0.5962847939999439
MAR_15,2dplanes_regression_y.csv,KL_divergence_max,R2,-0.29814239699997197
MAR_15,2dplanes_regression_y.csv,KS_statistic_median,R2,0.14907119849998599
MAR_15,2dplanes_regression_y.csv,KS_statistic_max,R2,0.0
MAR_15,2dplanes_regression_y.csv,Wasserstein_2_median,R2,0.0
MAR_15,2dplanes_regression_y.csv,Wasserstein_2_max,R2,-0.14907119849998599
MAR_15,2dplanes_regression_y.csv,kl_w_vs_w_hat,R2,-0.29814239699997197
MAR_15,2dplanes_regression_y.csv,ks_w_vs_w_hat,R2,-0.29814239699997197
MAR_15,2dplanes_regression_y.csv,wasserstein_2_w_vs_w_hat,R2,-0.14907119849998599
MAR_15,2dplanes_regression_y.csv,mean_ratio,R2,-0.14907119849998599
MAR_30,2dplanes_regression_y.csv,RMSE,R2,-0.8366600265340756
MAR_30,2dplanes_regression_y.csv,MAE,R2,-0.8366600265340756
MAR_30,2dplanes_regression_y.csv,R2,R2,0.8366600265340756
MAR_30,2dplanes_regression_y.csv,KL_divergence_median,R2,0.5976143046671968
MAR_30,2dplanes_regression_y.csv,KL_divergence_max,R2,-0.8366600265340756
MAR_30,2dplanes_regression_y.csv,KS_statistic_median,R2,-0.8366600265340756
MAR_30,2dplanes_regression_y.csv,KS_statistic_max,R2,-0.8366600265340756
MAR_30,2dplanes_regression_y.csv,Wasserstein_2_median,R2,-0.8366600265340756
MAR_30,2dplanes_regression_y.csv,Wasserstein_2_max,R2,-0.8366600265340756
MAR_30,2dplanes_regression_y.csv,kl_w_vs_w_hat,R2,-0.8366600265340756
MAR_30,2dplanes_regression_y.csv,ks_w_vs_w_hat,R2,-0.8366600265340756
MAR_30,2dplanes_regression_y.csv,wasserstein_2_w_vs_w_hat,R2,-0.8366600265340756
MAR_30,2dplanes_regression_y.csv,mean_ratio,R2,-0.8366600265340756
MAR_50,2dplanes_regression_y.csv,RMSE,R2,-0.35856858280031806
MAR_50,2dplanes_regression_y.csv,MAE,R2,-0.35856858280031806
MAR_50,2dplanes_regression_y.csv,R2,R2,0.35856858280031806
MAR_50,2dplanes_regression_y.csv,KL_divergence_median,R2,0.35856858280031806
MAR_50,2dplanes_regression_y.csv,KL_divergence_max,R2,-0.5976143046671968
MAR_50,2dplanes_regression_y.csv,KS_statistic_median,R2,-0.35856858280031806
MAR_50,2dplanes_regression_y.csv,KS_statistic_max,R2,-0.35856858280031806
MAR_50,2dplanes_regression_y.csv,Wasserstein_2_median,R2,-0.35856858280031806
MAR_50,2dplanes_regression_y.csv,Wasserstein_2_max,R2,-0.35856858280031806
MAR_50,2dplanes_regression_y.csv,kl_w_vs_w_hat,R2,-0.5976143046671968
MAR_50,2dplanes_regression_y.csv,ks_w_vs_w_hat,R2,-0.35856858280031806
MAR_50,2dplanes_regression_y.csv,wasserstein_2_w_vs_w_hat,R2,-0.35856858280031806
MAR_50,2dplanes_regression_y.csv,mean_ratio,R2,-0.35856858280031806
MCAR_5,2dplanes_regression_y.csv,RMSE,R2,-0.7453559924999299
MCAR_5,2dplanes_regression_y.csv,MAE,R2,-0.7453559924999299
MCAR_5,2dplanes_regression_y.csv,R2,R2,0.7453559924999299
MCAR_5,2dplanes_regression_y.csv,KL_divergence_median,R2,-0.7453559924999299
MCAR_5,2dplanes_regression_y.csv,KL_divergence_max,R2,-0.29814239699997197
MCAR_5,2dplanes_regression_y.csv,KS_statistic_median,R2,0.447213595499958
MCAR_5,2dplanes_regression_y.csv,KS_statistic_max,R2,0.447213595499958
MCAR_5,2dplanes_regression_y.csv,Wasserstein_2_median,R2,0.0
MCAR_5,2dplanes_regression_y.csv,Wasserstein_2_max,R2,0.0
MCAR_5,2dplanes_regression_y.csv,kl_w_vs_w_hat,R2,0.0
MCAR_5,2dplanes_regression_y.csv,ks_w_vs_w_hat,R2,0.0
MCAR_5,2dplanes_regression_y.csv,wasserstein_2_w_vs_w_hat,R2,0.0
MCAR_5,2dplanes_regression_y.csv,mean_ratio,R2,0.0
MCAR_15,2dplanes_regression_y.csv,RMSE,R2,-0.447213595499958
MCAR_15,2dplanes_regression_y.csv,MAE,R2,-0.447213595499958
MCAR_15,2dplanes_regression_y.csv,R2,R2,0.447213595499958
MCAR_15,2dplanes_regression_y.csv,KL_divergence_median,R2,-0.447213595499958
MCAR_15,2dplanes_regression_y.csv,KL_divergence_max,R2,-0.447213595499958
MCAR_15,2dplanes_regression_y.csv,KS_statistic_median,R2,0.29814239699997197
MCAR_15,2dplanes_regression_y.csv,KS_statistic_max,R2,0.29814239699997197
MCAR_15,2dplanes_regression_y.csv,Wasserstein_2_median,R2,-0.14907119849998599
MCAR_15,2dplanes_regression_y.csv,Wasserstein_2_max,R2,-0.14907119849998599
MCAR_15,2dplanes_regression_y.csv,kl_w_vs_w_hat,R2,-0.29814239699997197
MCAR_15,2dplanes_regression_y.csv,ks_w_vs_w_hat,R2,-0.14907119849998599
MCAR_15,2dplanes_regression_y.csv,wasserstein_2_w_vs_w_hat,R2,-0.14907119849998599
MCAR_15,2dplanes_regression_y.csv,mean_ratio,R2,-0.14907119849998599
