type_propusk,name_dataset,metric_impute,metric_model,kl_divergence
MAR_5,2dplanes_regression_y.csv,RMSE,R2,0.0011747471247803426
MAR_5,2dplanes_regression_y.csv,MAE,R2,0.00043887071904520885
MAR_5,2dplanes_regression_y.csv,R2,R2,0.00028171435217344944
MAR_5,2dplanes_regression_y.csv,KL_divergence_median,R2,0.0004043673807750986
MAR_5,2dplanes_regression_y.csv,KL_divergence_max,R2,0.0005545304399114611
MAR_5,2dplanes_regression_y.csv,KS_statistic_median,R2,0.006797302375586023
MAR_5,2dplanes_regression_y.csv,KS_statistic_max,R2,0.007064120082428288
MAR_5,2dplanes_regression_y.csv,Wasserstein_2_median,R2,0.004784395157267262
MAR_5,2dplanes_regression_y.csv,Wasserstein_2_max,R2,0.0084901740497892
MAR_5,2dplanes_regression_y.csv,kl_w_vs_w_hat,R2,0.03071360432922354
MAR_5,2dplanes_regression_y.csv,ks_w_vs_w_hat,R2,0.029847068321714056
MAR_5,2dplanes_regression_y.csv,wasserstein_2_w_vs_w_hat,R2,0.0007095689436281386
MAR_5,2dplanes_regression_y.csv,mean_ratio,R2,0.3178671649802357
MAR_15,2dplanes_regression_y.csv,RMSE,R2,0.00737968941419315
MAR_15,2dplanes_regression_y.csv,MAE,R2,0.004114746405096651
MAR_15,2dplanes_regression_y.csv,R2,R2,0.002275785274017098
MAR_15,2dplanes_regression_y.csv,KL_divergence_median,R2,0.0037861053803355943
MAR_15,2dplanes_regression_y.csv,KL_divergence_max,R2,0.005206340080541508
MAR_15,2dplanes_regression_y.csv,KS_statistic_median,R2,0.00892876649548944
MAR_15,2dplanes_regression_y.csv,KS_statistic_max,R2,0.009167418688380771
MAR_15,2dplanes_regression_y.csv,Wasserstein_2_median,R2,0.010511526264401811
MAR_15,2dplanes_regression_y.csv,Wasserstein_2_max,R2,0.019860771061665904
MAR_15,2dplanes_regression_y.csv,kl_w_vs_w_hat,R2,6.447004220732655
MAR_15,2dplanes_regression_y.csv,ks_w_vs_w_hat,R2,0.023439471717752187
MAR_15,2dplanes_regression_y.csv,wasserstein_2_w_vs_w_hat,R2,0.0064194049122255
MAR_15,2dplanes_regression_y.csv,mean_ratio,R2,1.9925568023730253
MAR_30,2dplanes_regression_y.csv,RMSE,R2,0.014052783533277019
MAR_30,2dplanes_regression_y.csv,MAE,R2,0.012193659806188237
MAR_30,2dplanes_regression_y.csv,R2,R2,0.00828965712774829
MAR_30,2dplanes_regression_y.csv,KL_divergence_median,R2,0.009176477002374676
MAR_30,2dplanes_regression_y.csv,KL_divergence_max,R2,0.013383335222806953
MAR_30,2dplanes_regression_y.csv,KS_statistic_median,R2,0.022311984643693918
MAR_30,2dplanes_regression_y.csv,KS_statistic_max,R2,0.02302133735130972
MAR_30,2dplanes_regression_y.csv,Wasserstein_2_median,R2,0.0506865510399198
MAR_30,2dplanes_regression_y.csv,Wasserstein_2_max,R2,0.07867853550960663
MAR_30,2dplanes_regression_y.csv,kl_w_vs_w_hat,R2,2.5826763493862646
MAR_30,2dplanes_regression_y.csv,ks_w_vs_w_hat,R2,0.07904097418665688
MAR_30,2dplanes_regression_y.csv,wasserstein_2_w_vs_w_hat,R2,0.025922515020690512
MAR_30,2dplanes_regression_y.csv,mean_ratio,R2,4.216124343849421
MAR_50,2dplanes_regression_y.csv,RMSE,R2,0.029695977498119613
MAR_50,2dplanes_regression_y.csv,MAE,R2,0.027356802896805796
MAR_50,2dplanes_regression_y.csv,R2,R2,0.018031416836542268
MAR_50,2dplanes_regression_y.csv,KL_divergence_median,R2,0.017959577878203334
MAR_50,2dplanes_regression_y.csv,KL_divergence_max,R2,0.027771657381286757
MAR_50,2dplanes_regression_y.csv,KS_statistic_median,R2,0.05462186657141889
MAR_50,2dplanes_regression_y.csv,KS_statistic_max,R2,0.05651931592141349
MAR_50,2dplanes_regression_y.csv,Wasserstein_2_median,R2,0.10055658072812307
MAR_50,2dplanes_regression_y.csv,Wasserstein_2_max,R2,0.14625896329760507
MAR_50,2dplanes_regression_y.csv,kl_w_vs_w_hat,R2,7.525486132198081
MAR_50,2dplanes_regression_y.csv,ks_w_vs_w_hat,R2,0.08426078375028659
MAR_50,2dplanes_regression_y.csv,wasserstein_2_w_vs_w_hat,R2,0.06491670128211757
MAR_50,2dplanes_regression_y.csv,mean_ratio,R2,7.25945151819676
MCAR_5,2dplanes_regression_y.csv,RMSE,R2,0.00099351177593544
MCAR_5,2dplanes_regression_y.csv,MAE,R2,0.00040175455598281083
MCAR_5,2dplanes_regression_y.csv,R2,R2,0.00027723275607666924
MCAR_5,2dplanes_regression_y.csv,KL_divergence_median,R2,0.0003740491166524572
MCAR_5,2dplanes_regression_y.csv,KL_divergence_max,R2,0.0005211381894772295
MCAR_5,2dplanes_regression_y.csv,KS_statistic_median,R2,0.006887581526964077
MCAR_5,2dplanes_regression_y.csv,KS_statistic_max,R2,0.007219988253742236
MCAR_5,2dplanes_regression_y.csv,Wasserstein_2_median,R2,0.004950060552533657
MCAR_5,2dplanes_regression_y.csv,Wasserstein_2_max,R2,0.008362791848784804
MCAR_5,2dplanes_regression_y.csv,kl_w_vs_w_hat,R2,0.06736209358986195
MCAR_5,2dplanes_regression_y.csv,ks_w_vs_w_hat,R2,0.02812493332677845
MCAR_5,2dplanes_regression_y.csv,wasserstein_2_w_vs_w_hat,R2,0.0006622322307562314
MCAR_5,2dplanes_regression_y.csv,mean_ratio,R2,0.26554108957787714
MCAR_15,2dplanes_regression_y.csv,RMSE,R2,0.005212058810622606
MCAR_15,2dplanes_regression_y.csv,MAE,R2,0.0029923947681368916
MCAR_15,2dplanes_regression_y.csv,R2,R2,0.001908675384366911
MCAR_15,2dplanes_regression_y.csv,KL_divergence_median,R2,0.0025917485785842877
MCAR_15,2dplanes_regression_y.csv,KL_divergence_max,R2,0.0035955598902419963
MCAR_15,2dplanes_regression_y.csv,KS_statistic_median,R2,0.008277997798768155
MCAR_15,2dplanes_regression_y.csv,KS_statistic_max,R2,0.017054649076960044
MCAR_15,2dplanes_regression_y.csv,Wasserstein_2_median,R2,0.01743988931950828
MCAR_15,2dplanes_regression_y.csv,Wasserstein_2_max,R2,0.028191934867534893
MCAR_15,2dplanes_regression_y.csv,kl_w_vs_w_hat,R2,2.305001542744804
MCAR_15,2dplanes_regression_y.csv,ks_w_vs_w_hat,R2,0.047648812283250276
MCAR_15,2dplanes_regression_y.csv,wasserstein_2_w_vs_w_hat,R2,0.005639497710951315
MCAR_15,2dplanes_regression_y.csv,mean_ratio,R2,1.8765465041977951
MCAR_30,2dplanes_regression_y.csv,RMSE,R2,0.01413390077952422
MCAR_30,2dplanes_regression_y.csv,MAE,R2,0.012233483356976022
MCAR_30,2dplanes_regression_y.csv,R2,R2,0.00831268272584098
MCAR_30,2dplanes_regression_y.csv,KL_divergence_median,R2,0.009267967496565527
MCAR_30,2dplanes_regression_y.csv,KL_divergence_max,R2,0.013445330653550445
MCAR_30,2dplanes_regression_y.csv,KS_statistic_median,R2,0.02230086704930475
MCAR_30,2dplanes_regression_y.csv,KS_statistic_max,R2,0.023028939042193247
MCAR_30,2dplanes_regression_y.csv,Wasserstein_2_median,R2,0.053192997967032196
MCAR_30,2dplanes_regression_y.csv,Wasserstein_2_max,R2,0.07866126497354875
MCAR_30,2dplanes_regression_y.csv,kl_w_vs_w_hat,R2,4.4009864244365895
MCAR_30,2dplanes_regression_y.csv,ks_w_vs_w_hat,R2,0.07931854804778116
MCAR_30,2dplanes_regression_y.csv,wasserstein_2_w_vs_w_hat,R2,0.026693553364637697
MCAR_30,2dplanes_regression_y.csv,mean_ratio,R2,4.464032935569369
MCAR_50,2dplanes_regression_y.csv,RMSE,R2,0.02924318408784461
MCAR_50,2dplanes_regression_y.csv,MAE,R2,0.026910224502754557
MCAR_50,2dplanes_regression_y.csv,R2,R2,0.017485404791313972
MCAR_50,2dplanes_regression_y.csv,KL_divergence_median,R2,0.01718848163801546
MCAR_50,2dplanes_regression_y.csv,KL_divergence_max,R2,0.0272753827945494
MCAR_50,2dplanes_regression_y.csv,KS_statistic_median,R2,0.05399441882163755
MCAR_50,2dplanes_regression_y.csv,KS_statistic_max,R2,0.05576757987913553
MCAR_50,2dplanes_regression_y.csv,Wasserstein_2_median,R2,0.0974537201580433
MCAR_50,2dplanes_regression_y.csv,Wasserstein_2_max,R2,0.14226864729365093
MCAR_50,2dplanes_regression_y.csv,kl_w_vs_w_hat,R2,4.039711920268215
MCAR_50,2dplanes_regression_y.csv,ks_w_vs_w_hat,R2,0.0847268433878542
MCAR_50,2dplanes_regression_y.csv,wasserstein_2_w_vs_w_hat,R2,0.05854907025058257
MCAR_50,2dplanes_regression_y.csv,mean_ratio,R2,6.71185975958645
MNAR_5,2dplanes_regression_y.csv,RMSE,R2,0.00040315220411876913
MNAR_5,2dplanes_regression_y.csv,MAE,R2,0.00032928771808174917
MNAR_5,2dplanes_regression_y.csv,R2,R2,0.0003023919130890249
MNAR_5,2dplanes_regression_y.csv,KL_divergence_median,R2,0.0002612989778764275
MNAR_5,2dplanes_regression_y.csv,KL_divergence_max,R2,0.0002500073015514739
MNAR_5,2dplanes_regression_y.csv,KS_statistic_median,R2,0.007323104134426695
MNAR_5,2dplanes_regression_y.csv,KS_statistic_max,R2,0.017130432729020286
MNAR_5,2dplanes_regression_y.csv,Wasserstein_2_median,R2,0.0015392777619792344
MNAR_5,2dplanes_regression_y.csv,Wasserstein_2_max,R2,0.004556360924577809
MNAR_5,2dplanes_regression_y.csv,kl_w_vs_w_hat,R2,0.0845773427321635
MNAR_5,2dplanes_regression_y.csv,ks_w_vs_w_hat,R2,0.01301162048566738
MNAR_5,2dplanes_regression_y.csv,wasserstein_2_w_vs_w_hat,R2,0.0003734361228655307
MNAR_5,2dplanes_regression_y.csv,mean_ratio,R2,0.0661668299903014
MNAR_15,2dplanes_regression_y.csv,RMSE,R2,0.0021218519883563734
MNAR_15,2dplanes_regression_y.csv,MAE,R2,0.0026375336352231667
MNAR_15,2dplanes_regression_y.csv,R2,R2,0.0024697802169507945
MNAR_15,2dplanes_regression_y.csv,KL_divergence_median,R2,0.001918070240289822
MNAR_15,2dplanes_regression_y.csv,KL_divergence_max,R2,0.0019644158196286607
MNAR_15,2dplanes_regression_y.csv,KS_statistic_median,R2,0.008076542158919106
MNAR_15,2dplanes_regression_y.csv,KS_statistic_max,R2,0.009038426205923097
MNAR_15,2dplanes_regression_y.csv,Wasserstein_2_median,R2,0.006387960067298295
MNAR_15,2dplanes_regression_y.csv,Wasserstein_2_max,R2,0.01574316087076756
MNAR_15,2dplanes_regression_y.csv,kl_w_vs_w_hat,R2,1.6099244503778607
MNAR_15,2dplanes_regression_y.csv,ks_w_vs_w_hat,R2,0.009505121738138972
MNAR_15,2dplanes_regression_y.csv,wasserstein_2_w_vs_w_hat,R2,0.0033632172154077662
MNAR_15,2dplanes_regression_y.csv,mean_ratio,R2,0.6043217297743848
MNAR_30,2dplanes_regression_y.csv,RMSE,R2,0.006505364772752143
MNAR_30,2dplanes_regression_y.csv,MAE,R2,0.009903263867566882
MNAR_30,2dplanes_regression_y.csv,R2,R2,0.0096525518055934
MNAR_30,2dplanes_regression_y.csv,KL_divergence_median,R2,0.006433111925293181
MNAR_30,2dplanes_regression_y.csv,KL_divergence_max,R2,0.007379657390547592
MNAR_30,2dplanes_regression_y.csv,KS_statistic_median,R2,0.012205244768863612
MNAR_30,2dplanes_regression_y.csv,KS_statistic_max,R2,0.012434506599032134
MNAR_30,2dplanes_regression_y.csv,Wasserstein_2_median,R2,0.018091002484477044
MNAR_30,2dplanes_regression_y.csv,Wasserstein_2_max,R2,0.03711281859168116
MNAR_30,2dplanes_regression_y.csv,kl_w_vs_w_hat,R2,2.2844133431279467
MNAR_30,2dplanes_regression_y.csv,ks_w_vs_w_hat,R2,0.014417817688978884
MNAR_30,2dplanes_regression_y.csv,wasserstein_2_w_vs_w_hat,R2,0.013748832663371088
MNAR_30,2dplanes_regression_y.csv,mean_ratio,R2,1.8261982027843904
MNAR_50,2dplanes_regression_y.csv,RMSE,R2,0.013514366562185007
MNAR_50,2dplanes_regression_y.csv,MAE,R2,0.01910619682546546
MNAR_50,2dplanes_regression_y.csv,R2,R2,0.018265970391292675
MNAR_50,2dplanes_regression_y.csv,KL_divergence_median,R2,0.012078308059182617
MNAR_50,2dplanes_regression_y.csv,KL_divergence_max,R2,0.015125081320525903
MNAR_50,2dplanes_regression_y.csv,KS_statistic_median,R2,0.022721282897782004
MNAR_50,2dplanes_regression_y.csv,KS_statistic_max,R2,0.02268973676148326
MNAR_50,2dplanes_regression_y.csv,Wasserstein_2_median,R2,0.027008285956913045
MNAR_50,2dplanes_regression_y.csv,Wasserstein_2_max,R2,0.05603205206202783
MNAR_50,2dplanes_regression_y.csv,kl_w_vs_w_hat,R2,2.9578633685761044
MNAR_50,2dplanes_regression_y.csv,ks_w_vs_w_hat,R2,0.020997371378244666
MNAR_50,2dplanes_regression_y.csv,wasserstein_2_w_vs_w_hat,R2,0.027957441507732727
MNAR_50,2dplanes_regression_y.csv,mean_ratio,R2,2.6811016407955526
MAR_5,Ailerons_regression_goal.csv,RMSE,R2,1.3536369072008052
MAR_5,Ailerons_regression_goal.csv,MAE,R2,0.005129929251751531
MAR_5,Ailerons_regression_goal.csv,R2,R2,3.877465927238982e-05
MAR_5,Ailerons_regression_goal.csv,KL_divergence_median,R2,0.000159991238379004
MAR_5,Ailerons_regression_goal.csv,KL_divergence_max,R2,0.00045574753719354816
MAR_5,Ailerons_regression_goal.csv,KS_statistic_median,R2,0.0003857151047393122
MAR_5,Ailerons_regression_goal.csv,KS_statistic_max,R2,0.07764061674539341
MAR_5,Ailerons_regression_goal.csv,Wasserstein_2_median,R2,0.00016303557469165599
MAR_5,Ailerons_regression_goal.csv,Wasserstein_2_max,R2,2.184055435074025
